sName,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,GWA
Allison Hill,2.25,2.25,2.75,1.75,2.75,2.5,2.5,1.25,2.25
Noah Rhodes,1.0,1.75,2.5,1.5,2.25,2.5,1.75,1.5,1.84
Angie Henderson,1.5,2.0,1.75,1.5,2.75,1.5,1.75,2.0,1.84
Daniel Wagner,1.25,2.0,1.0,1.0,3.0,1.0,2.0,1.25,1.56
Cristian Santos,2.5,3.0,1.5,3.0,1.0,2.0,1.25,1.25,1.94
Connie Lawrence,2.25,1.25,2.5,2.75,2.75,2.75,2.0,2.0,2.28
Abigail Shaffer,2.75,2.5,2.75,2.0,1.5,1.25,1.0,1.0,1.84
Gina Moore,1.0,1.5,3.0,3.0,2.0,2.5,2.0,2.0,2.12
Gabrielle Davis,1.75,1.75,1.75,5.0,2.0,1.75,2.5,2.75,2.91
Ryan Munoz,1.0,2.25,2.5,2.25,1.75,2.5,1.5,1.75,1.94
Monica Herrera,1.25,1.5,2.0,1.5,1.5,2.25,3.0,2.0,1.88
Jamie Arnold,2.0,1.5,2.25,1.0,1.5,2.75,2.25,1.75,1.88
Lisa Hensley,1.0,2.5,1.25,2.5,1.5,1.0,1.25,1.0,1.5
Michele Williams,1.25,1.0,1.25,1.75,1.25,2.5,3.0,1.75,1.72
Dylan Miller,2.25,1.75,1.75,2.25,2.0,1.75,1.75,2.75,2.03
Brian Ramirez,2.0,,1.0,3.0,1.25,1.5,2.75,2.5,2.5
Holly Wood,1.25,5.0,1.5,1.25,2.0,1.0,1.5,1.75,1.78
Derek Zuniga,2.0,1.0,2.25,2.0,3.0,1.25,3.0,2.75,2.16
Lisa Jackson,2.75,1.25,1.75,2.25,1.5,1.0,2.5,2.5,1.94
Carla Gray,1.0,1.5,1.25,2.0,2.5,3.0,1.25,2.0,1.81
Margaret Hawkins DDS,2.75,3.0,1.75,1.0,2.75,2.0,2.0,1.0,2.03
Patty Perez,2.5,2.75,1.25,1.5,2.75,3.0,2.0,1.5,2.16
Ethan Adams,1.5,2.75,2.25,1.5,1.5,2.0,1.0,1.0,1.69
Tommy Walter,1.25,1.75,1.0,2.25,1.25,1.5,1.25,3.0,1.66
Matthew Foster,3.0,1.25,1.75,2.75,1.25,2.5,1.5,3.0,2.12
Judy Baker,1.5,2.75,2.0,1.5,2.25,1.25,1.75,1.0,1.75
Justin Baker,1.0,2.5,1.0,2.5,2.5,1.75,1.75,3.0,2.0
Stephanie Ross,1.0,2.25,2.25,1.5,2.25,2.5,2.25,1.0,1.88
Zachary Hicks,2.75,3.0,1.25,3.0,1.25,2.75,2.0,1.75,2.22
Anthony Rodriguez,2.25,2.25,1.75,2.75,2.5,1.5,1.5,2.5,2.12
Rebecca Henderson,2.75,1.0,1.0,2.0,2.0,1.25,2.25,2.5,1.84
James Ferrell,2.5,2.75,1.75,1.75,2.5,1.75,1.25,3.0,2.16
Tricia Valencia,2.0,1.5,1.25,1.5,2.5,2.75,3.0,2.25,2.09
Nathan Maldonado,3.0,2.25,1.5,1.5,1.75,2.5,2.5,1.75,2.09
Debra Davidson,1.75,3.0,2.5,3.0,3.0,3.0,1.5,3.0,2.59
Jeffrey Chavez,2.0,1.25,1.75,1.75,2.0,1.75,1.5,1.75,1.72
Sherri Baker,2.75,1.25,2.5,2.0,2.25,3.0,2.75,2.75,2.41
Cassandra Gaines,2.25,1.25,2.75,3.0,2.25,2.0,2.0,3.0,2.31
Elizabeth Fowler,2.75,2.0,1.5,2.25,2.75,2.0,2.5,1.75,2.19
Brittany Farmer,2.0,1.5,1.0,2.0,2.25,3.0,1.5,2.25,1.94
Paula Moreno,2.5,2.25,1.0,1.75,1.25,2.0,2.75,2.25,1.97
Fred Smith,1.0,2.5,2.0,1.25,1.0,2.75,1.75,2.0,1.78
Sherry Decker,1.25,1.25,5.0,1.75,1.75,2.5,2.25,2.25,2.75
Anthony Humphrey,1.5,2.25,1.5,2.5,1.5,1.0,3.0,1.5,1.84
Angelica Tucker,1.0,1.5,2.25,2.25,1.5,2.25,2.0,1.25,1.75
Philip Cannon,1.25,2.0,2.5,2.5,1.0,2.75,2.75,2.0,2.09
John Pierce,1.0,3.0,2.25,1.25,2.0,2.0,2.5,2.0,2.0
Shane Henderson,1.5,2.75,2.5,2.0,1.5,1.5,2.25,2.5,2.06
Joshua Blair,2.25,1.0,3.0,3.0,1.75,1.0,1.0,1.25,1.78
Eric Carney,1.75,1.75,1.25,1.75,1.0,2.25,1.75,1.0,1.56
Jessica Holmes,1.75,1.5,1.0,2.5,2.75,1.5,3.0,1.0,1.88
Danny Morgan,1.25,1.0,1.25,1.25,1.0,2.25,2.5,1.5,1.5
Crystal Robinson,1.5,2.5,1.25,3.0,2.75,1.75,2.5,2.25,2.19
Mark Perez,3.0,2.25,2.25,2.25,2.75,2.25,2.0,2.0,2.34
Shannon Jones,2.25,1.5,2.0,1.5,2.25,1.5,2.5,2.0,1.94
Michael Lewis,2.25,2.5,1.25,1.25,2.0,1.0,2.0,2.75,1.88
Timothy Duncan,1.25,2.0,2.5,2.0,1.75,2.75,1.25,1.5,1.88
Richard Aguirre,2.5,1.75,2.5,2.0,2.0,1.5,2.25,1.5,2.0
Brent Jordan,1.25,1.0,1.25,1.0,2.5,,2.25,1.5,2.09
John Daniel,1.75,1.0,2.25,3.0,3.0,1.5,2.75,3.0,2.28
Victoria Garcia,3.0,2.75,2.5,3.0,1.75,3.0,1.25,2.5,2.47
Gerald Hensley,2.25,3.0,1.25,1.75,2.75,3.0,2.25,1.25,2.19
Connor West,2.0,2.0,2.75,1.25,2.25,1.0,1.0,2.75,1.88
Donald Wright,2.25,2.75,3.0,2.75,1.5,2.25,3.0,1.75,2.41
Jessica Callahan,2.75,2.0,1.25,2.0,1.75,1.75,1.25,2.5,1.91
Amber Kidd,2.5,1.25,1.0,2.5,1.25,2.75,1.0,2.75,1.88
Tracy House,1.25,1.25,1.5,2.0,1.0,2.25,1.5,1.0,1.47
Carol Tucker,1.0,1.5,2.25,1.5,1.25,3.0,1.25,1.25,1.62
James Brown,1.5,3.0,3.0,2.75,3.0,1.25,2.25,1.0,2.22
William Baker,1.5,2.75,1.75,3.0,1.5,2.25,1.75,1.0,1.94
Jordan Henderson,1.25,2.75,2.5,1.5,2.5,2.5,2.5,2.25,2.22
Whitney Peters,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.5,2.19
Brittney Phillips,2.75,1.25,2.25,1.75,1.25,1.0,2.75,1.0,1.75
Lauren Daniels,1.5,1.5,2.25,3.0,1.5,2.5,2.5,2.5,2.16
Amy Silva,2.25,1.25,1.25,2.0,1.75,1.75,1.0,1.75,1.62
Sarah Moore,1.75,2.5,2.5,2.75,1.75,1.75,1.25,1.5,1.97
Angela Lopez,3.0,2.75,2.75,2.75,2.0,2.0,1.25,1.25,2.22
Megan Young,1.75,1.75,2.25,1.5,1.25,2.25,1.5,2.75,1.88
Steve Sanchez,1.5,2.25,1.25,2.5,1.75,2.25,2.25,1.0,1.84
Lisa Barnes,1.5,1.25,3.0,1.75,1.5,3.0,2.0,2.0,2.0
Kelly Donovan,2.0,3.0,2.5,3.0,1.75,1.75,1.5,1.5,2.12
Mike Allen,1.5,2.75,1.5,2.0,1.5,2.5,1.25,2.75,1.97
Michael Evans,2.0,3.0,1.75,2.75,2.25,2.0,3.0,2.5,2.41
Paul Jones,3.0,2.75,1.75,1.5,2.5,2.0,1.5,1.5,2.06
Zachary Ferrell,1.75,2.75,2.0,1.5,2.25,1.75,1.5,2.25,1.97
Daniel Baker,1.25,1.0,1.5,2.0,1.0,2.25,2.5,2.25,1.72
Shirley Suarez,5.0,2.5,2.75,,1.0,1.5,2.5,1.5,2.72
Christopher Bass,2.0,1.5,2.75,2.0,2.25,1.25,2.25,1.5,1.94
Lisa Archer,1.0,3.0,1.25,1.25,1.5,2.5,2.5,1.25,1.78
Aimee Montoya,1.0,2.75,3.0,2.0,2.5,2.0,2.25,2.25,2.22
Matthew Mcmillan,1.25,2.75,2.25,1.5,2.25,1.75,1.25,1.25,1.78
Brian Rodriguez,2.25,2.75,2.75,2.0,3.0,2.0,1.5,1.5,2.22
Denise Jacobs,2.5,1.5,2.5,2.0,2.75,1.5,2.0,1.0,1.97
Christina Walters,1.75,2.5,1.75,1.75,1.5,1.5,1.25,3.0,1.88
John Whitehead,1.0,1.25,2.5,1.5,2.0,1.75,3.0,2.75,1.97
Anna Henderson,1.75,2.75,3.0,1.25,1.25,5.0,1.5,3.0,2.31
Aaron Wise,5.0,2.75,1.5,2.5,1.5,1.5,1.5,2.25,2.19
Deborah Figueroa,2.0,1.25,2.75,2.0,3.0,3.0,1.25,1.75,2.12
Jessica Smith,3.0,2.75,2.0,1.25,2.5,2.0,2.5,2.0,2.25
Stephen Mckee,2.75,1.75,1.75,2.5,1.75,1.25,1.5,3.0,2.03
Sandra Aguilar,1.0,1.5,1.75,1.0,2.25,2.75,1.5,3.0,1.84
Cameron Parker,2.5,2.75,2.5,2.5,3.0,1.75,3.0,2.25,2.53
Rebecca Valencia,2.25,1.25,1.5,2.5,1.5,3.0,2.75,2.5,2.16
Christine Wright,2.0,1.0,2.75,2.75,1.75,1.75,1.5,1.5,1.88
Richard Henson,1.5,1.25,2.75,1.75,2.5,1.0,1.25,1.75,1.72
Marc Moore,2.25,1.5,1.0,2.25,2.75,2.25,2.25,1.25,1.94
Sharon Cherry,1.25,2.75,2.75,2.75,2.25,2.75,1.75,1.75,2.25
Sierra Johnson,1.75,3.0,1.5,3.0,2.75,1.5,3.0,2.5,2.38
Evelyn Galvan,1.75,1.5,1.75,2.0,2.5,1.5,2.75,1.75,1.94
Sharon Cochran,3.0,2.25,2.25,1.0,2.25,1.0,3.0,2.75,2.19
Richard Rodriguez,2.75,1.75,1.75,2.0,2.0,2.0,2.75,1.5,2.06
Shannon Walker,1.5,3.0,1.0,2.25,2.25,2.75,1.5,2.5,2.09
Julia Torres,2.0,2.0,2.75,2.75,1.75,2.75,1.5,2.75,2.28
Crystal Johnson,1.25,3.0,1.25,2.75,1.75,2.5,2.5,3.0,2.25
Garrett Lin,3.0,1.25,1.25,1.75,1.75,3.0,1.5,2.0,1.94
Diana May,2.75,3.0,2.75,2.0,1.25,2.25,1.75,3.0,2.34
William Herrera,1.5,1.25,1.5,1.75,1.25,2.75,1.5,2.0,1.69
Ashley Waller,2.25,3.0,2.75,2.5,3.0,2.0,1.75,1.25,2.31
Victor Baker,2.25,1.5,2.5,1.75,1.75,1.25,1.25,1.5,1.72
Jeffrey Chandler,1.25,1.25,1.5,2.25,1.25,1.25,2.0,1.25,1.5
Larry Dixon,2.5,1.75,1.0,1.25,1.25,1.25,3.0,2.25,1.78
Kenneth Scott,2.0,2.5,3.0,1.75,1.0,2.5,2.5,3.0,2.28
April Frost,2.5,1.5,1.0,3.0,2.75,1.0,1.25,2.75,1.97
Michelle Harmon,2.0,2.25,2.5,1.5,1.0,2.0,2.25,1.0,1.81
Helen Jones,1.0,2.0,2.0,2.5,2.5,1.75,2.0,2.5,2.03
Erin Edwards,1.5,1.75,2.5,2.25,2.75,2.75,1.5,1.25,2.03
Michelle Evans,1.0,2.0,2.25,2.75,2.75,2.0,2.25,1.5,2.06
Jason Powell,3.0,1.5,2.25,2.75,1.0,2.25,2.0,2.25,2.12
Cameron Fisher,2.75,2.5,2.0,2.75,1.5,1.0,2.25,2.25,2.12
Megan Orr,2.75,1.0,2.75,1.75,2.5,1.5,1.0,2.75,2.0
Elizabeth Kelley,1.5,3.0,1.0,1.5,1.25,5.0,1.75,1.25,2.53
Dustin Jordan,1.0,2.0,1.25,2.5,1.75,2.5,2.5,2.5,2.0
Mary Marshall,2.75,2.5,2.5,2.5,1.25,2.0,1.0,2.5,2.12
