sName,Level of Identity,Level of Skills,Level of Knowledge,Context of Performance,Personal Factors,Fixed Factors,Avg_Identity,Avg_Skills,Avg_Knowledge,Avg_cPerfromance,Avg_pFactors,Avg_fFactors,Overall,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,GWA
Allison Hill,"{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}",3.25,2.5,2.75,1.5,2.5,1.75,2.38,2.25,2.25,2.75,1.75,2.75,2.5,2.5,1.25,2.25
Noah Rhodes,"{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 3}",3.5,2.0,3.0,2.0,1.75,2.5,2.46,1.0,1.75,2.5,1.5,2.25,2.5,1.75,1.5,1.84
Angie Henderson,"{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 4}",3.25,3.75,3.5,3.25,2.25,3.0,3.17,1.5,2.0,1.75,1.5,2.75,1.5,1.75,2.0,1.84
Daniel Wagner,"{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 3}",3.25,2.75,2.0,2.25,2.75,2.25,2.54,1.25,2.0,1.0,1.0,3.0,1.0,2.0,1.25,1.56
Cristian Santos,"{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 1}",1.75,2.0,2.25,3.25,2.5,2.75,2.42,2.5,3.0,1.5,3.0,1.0,2.0,1.25,1.25,1.94
Connie Lawrence,"{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 3}",2.5,1.75,1.0,3.0,2.5,1.75,2.08,2.25,1.25,2.5,2.75,2.75,2.75,2.0,2.0,2.28
Abigail Shaffer,"{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 1}",2.5,2.0,3.25,2.25,2.5,1.75,2.38,2.75,2.5,2.75,2.0,1.5,1.25,1.0,1.0,1.84
Gina Moore,"{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 4}",3.25,2.5,2.5,2.75,2.75,2.75,2.75,1.0,1.5,3.0,3.0,2.0,2.5,2.0,2.0,2.12
Gabrielle Davis,"{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 3}",2.5,2.5,2.75,2.25,3.0,2.25,2.54,1.75,1.75,1.75,,2.0,1.75,2.5,2.75,2.91
Ryan Munoz,"{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 4}",2.5,2.25,2.0,2.5,1.75,2.5,2.25,1.0,2.25,2.5,2.25,1.75,2.5,1.5,1.75,1.94
Monica Herrera,"{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 1}",2.75,2.5,2.0,3.5,3.0,1.75,2.58,1.25,1.5,2.0,1.5,1.5,2.25,3.0,2.0,1.88
Jamie Arnold,"{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 3}",3.25,3.75,3.0,2.75,1.75,2.0,2.75,2.0,1.5,2.25,1.0,1.5,2.75,2.25,1.75,1.88
Lisa Hensley,"{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}",2.5,2.75,3.5,2.75,2.25,2.5,2.71,1.0,2.5,1.25,2.5,1.5,1.0,1.25,1.0,1.5
Michele Williams,"{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}",2.0,3.25,3.25,3.25,2.0,2.5,2.71,1.25,1.0,1.25,1.75,1.25,2.5,3.0,1.75,1.72
Dylan Miller,"{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 1}",2.75,2.75,2.25,3.25,2.25,2.0,2.54,2.25,1.75,1.75,2.25,2.0,1.75,1.75,2.75,2.03
Brian Ramirez,"{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 3}",2.5,2.75,3.25,2.25,2.75,2.5,2.67,2.0,,1.0,3.0,1.25,1.5,2.75,2.5,2.5
Holly Wood,"{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 4}",2.0,3.75,2.25,2.5,2.75,2.25,2.58,1.25,5.0,1.5,1.25,2.0,1.0,1.5,1.75,1.78
Derek Zuniga,"{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 4}",3.25,2.75,2.75,1.75,3.0,2.75,2.71,2.0,1.0,2.25,2.0,3.0,1.25,3.0,2.75,2.16
Lisa Jackson,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 2}",2.5,3.0,2.25,2.25,2.0,2.75,2.46,2.75,1.25,1.75,2.25,1.5,1.0,2.5,2.5,1.94
Carla Gray,"{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 1}",1.75,2.5,2.25,2.5,2.0,2.25,2.21,1.0,1.5,1.25,2.0,2.5,3.0,1.25,2.0,1.81
Margaret Hawkins DDS,"{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 2}",2.25,2.0,1.5,3.0,3.0,2.5,2.38,2.75,3.0,1.75,1.0,2.75,2.0,2.0,1.0,2.03
Patty Perez,"{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 3}",1.75,2.5,1.75,2.5,3.25,3.0,2.46,2.5,2.75,1.25,1.5,2.75,3.0,2.0,1.5,2.16
Ethan Adams,"{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 2}",2.25,2.5,2.5,3.0,3.0,2.25,2.58,1.5,2.75,2.25,1.5,1.5,2.0,1.0,1.0,1.69
Tommy Walter,"{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 4}",3.75,1.75,2.5,2.75,2.5,2.5,2.62,1.25,1.75,1.0,2.25,1.25,1.5,1.25,3.0,1.66
Matthew Foster,"{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 2}",2.25,3.25,1.5,2.25,2.25,3.0,2.42,3.0,1.25,1.75,2.75,1.25,2.5,1.5,3.0,2.12
Judy Baker,"{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 1}",2.0,2.75,2.5,3.0,2.0,1.75,2.33,1.5,2.75,2.0,1.5,2.25,1.25,1.75,1.0,1.75
Justin Baker,"{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 3}",3.0,1.25,2.75,3.5,2.75,2.75,2.67,1.0,2.5,1.0,2.5,2.5,1.75,1.75,3.0,2.0
Stephanie Ross,"{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 1}",1.75,3.0,2.5,1.5,2.5,1.0,2.04,1.0,2.25,2.25,1.5,2.25,2.5,2.25,1.0,1.88
Zachary Hicks,"{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 2}",3.25,1.75,3.5,1.25,2.25,3.25,2.54,2.75,3.0,1.25,3.0,1.25,2.75,2.0,1.75,2.22
Anthony Rodriguez,"{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 3}",2.5,1.75,2.0,2.25,2.75,3.25,2.42,2.25,2.25,1.75,2.75,2.5,1.5,1.5,2.5,2.12
Rebecca Henderson,"{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 3}",2.5,1.75,3.5,3.0,3.0,3.25,2.83,2.75,1.0,1.0,2.0,2.0,1.25,2.25,2.5,1.84
James Ferrell,"{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}",3.0,2.5,2.0,2.5,3.0,3.0,2.67,2.5,2.75,1.75,1.75,2.5,1.75,1.25,3.0,2.16
Tricia Valencia,"{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 3}",3.5,3.25,2.0,3.25,2.0,3.0,2.83,2.0,1.5,1.25,1.5,2.5,2.75,3.0,2.25,2.09
Nathan Maldonado,"{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 1}",3.0,3.25,1.75,3.0,2.25,2.25,2.58,3.0,2.25,1.5,1.5,1.75,2.5,2.5,1.75,2.09
Debra Davidson,"{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 2}",2.25,2.25,2.0,2.0,2.0,3.0,2.25,1.75,3.0,2.5,3.0,3.0,3.0,1.5,3.0,2.59
