Student Name,Year Level,Student Number,Grades,GWA,Failed Subjects
Allison Hill,1,24043321,"[5.0, 3.0, 1.25, 4.0, 2.5]",2.25,2
Noah Rhodes,1,24013389,"[1.0, 3.0, 1.75, 5.0, 3.0]",2.3,1
Angie Henderson,4,21379402,"[2.5, 2.25, 2.0, 1.5, 1.75]",2.0,0
Daniel Wagner,3,22116155,"[4.0, 2.0, 1.0, 2.75, 3.0, 1.25, 2.5]",2.08,1
Cristian Santos,1,24849593,"[1.25, 1.0, 5.0, 1.75, 2.0]",1.52,1
Connie Lawrence,1,24316475,"[1.5, 2.25, 2.25, 1.75, 5.0]",1.98,1
Abigail Shaffer,3,22192832,"[2.75, 2.5, 2.0, 5.0, 3.0, 1.75, 5.0]",2.4,2
Gina Moore,3,22030564,"[1.25, 1.75, 4.0, 2.25, 1.75, 5.0, 2.75]",1.95,2
Gabrielle Davis,4,21724238,"[3.0, 2.0, 4.0, 2.5, 4.0]",2.5,2
Ryan Munoz,4,21532871,"[1.0, 1.25, 1.5, 5.0, 1.5]",1.31,1
Monica Herrera,4,21916697,"[3.0, 2.0, 3.0, 1.0, 5.0]",2.25,1
Jamie Arnold,1,24845146,"[1.5, 2.75, 1.0, 2.0, 3.0]",2.09,0
Lisa Hensley,2,23814893,"[1.5, 2.25, 1.5, 3.0, 3.0, 1.0, 4.0, 2.25]",2.1,1
Michele Williams,4,21015430,"[1.75, 4.0, 1.25, 1.25, 2.75]",1.75,1
Dylan Miller,1,24822782,"[2.0, 3.0, 4.0, 2.5, 1.75]",2.34,1
Brian Ramirez,2,23465787,"[1.25, 1.75, 1.75, 1.25, 2.25, 1.0, 4.0, 3.0]",1.77,1
Holly Wood,2,23930103,"[1.25, 1.0, 2.25, 1.25, 3.0, 1.75, 2.0, 5.0]",1.81,1
Derek Zuniga,4,21382997,"[1.75, 2.75, 2.5, 1.75, 1.25]",2.0,0
Lisa Jackson,1,24656670,"[5.0, 5.0, 5.0, 1.25, 1.0]",1.12,3
