Student Name,Year Level,Student Number,Grades,GWA,Failed Subjects
Michael Thomas,1,24427517,"[4.0, 2.75, 4.0, 1.0, 3.0]",2.25,2
Michael Mcguire,4,21959866,"[1.5, 1.0, 1.25, 1.25, 2.5]",1.5,0
Jonathan Smith,2,23128726,"[4.0, 3.0, 2.0, 4.0, 1.5, 2.5, 1.25, 1.0]",1.88,2
Jaime Phelps,1,24202441,"[3.0, 4.0, 1.25, 4.0, 5.0]",1.95,3
Nicole Hamilton,1,24197558,"[5.0, 2.75, 1.5, 1.5, 1.25]",1.75,1
Samuel Wilkins,3,22094529,"[1.25, 3.0, 5.0, 1.25, 2.0, 2.75, 2.25]",2.08,1
Brendan Hunt,4,21076915,"[1.5, 5.0, 1.25, 5.0, 1.5]",1.42,2
Raymond Harper MD,3,22186790,"[1.5, 1.0, 1.25, 1.25, 1.5, 1.0, 2.25]",1.39,0
Jamie Williams,1,24874756,"[1.25, 1.0, 1.25, 1.75, 5.0]",1.32,1
Tom Combs,4,21396499,"[2.5, 2.25, 2.5, 2.25, 1.0]",2.1,0
Stephen Boyd,2,23823034,"[1.75, 2.25, 1.75, 1.75, 2.5, 2.5, 1.75, 1.0]",1.91,0
Scott Silva,4,21801008,"[4.0, 3.0, 3.0, 3.0, 1.25]",2.56,1
Meghan Davis,3,22432762,"[1.75, 1.0, 1.25, 1.75, 1.25, 4.0, 4.0]",1.4,2
Rachel Nolan,4,21366102,"[2.5, 1.25, 2.25, 2.25, 2.0]",2.05,0
Joseph Haynes,2,23892333,"[1.0, 1.25, 2.0, 2.75, 2.0, 5.0, 1.25, 2.75]",1.9,1
Ryan Norman,3,22253037,"[5.0, 1.5, 2.0, 4.0, 5.0, 2.75, 2.0]",2.06,3
Kevin Richardson,4,21748789,"[2.5, 2.5, 3.0, 4.0, 1.25]",2.31,1
Larry Costa,2,23929011,"[5.0, 1.75, 1.75, 1.75, 4.0, 3.0, 1.0, 2.0]",1.88,2
Ashley Simpson,2,23776415,"[2.75, 2.75, 2.0, 2.75, 1.5, 1.25, 2.25, 2.25]",2.16,0
Tina Espinoza,3,22516754,"[1.75, 1.75, 2.75, 1.5, 2.25, 2.0, 2.5]",2.07,0
Vincent Guzman,2,23948024,"[1.5, 1.5, 1.75, 1.5, 1.5, 5.0, 4.0, 3.0]",1.81,2
Cameron Miller,2,23476824,"[1.25, 3.0, 2.25, 1.5, 1.25, 2.5, 2.0, 3.0]",2.13,0
Brittany Aguirre,3,22129860,"[2.5, 4.0, 2.75, 5.0, 2.75, 3.0, 2.75]",2.75,2
Joseph Ramos,1,24077141,"[5.0, 1.75, 2.75, 1.25, 5.0]",1.92,2
Aaron Berger,4,21722501,"[2.0, 2.25, 1.0, 1.25, 3.0]",1.9,0
