Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed
Michael Thomas,1,24427517,1.0,1.5,2.5,1.75,2.25,,,,1.86,0
Michael Mcguire,4,21908695,2.5,5.0,1.0,1.0,1.25,,,,1.44,1
Jonathan Smith,4,21620116,1.75,5.0,1.0,1.5,2.75,,,,1.75,1
Jaime Phelps,2,23128726,1.75,1.75,1.75,2.25,1.0,5.0,5.0,1.75,1.71,2
Nicole Hamilton,3,22926109,2.25,2.75,1.5,1.5,1.5,5.0,3.0,,2.08,1
Samuel Wilkins,1,24202441,1.75,2.5,1.75,2.5,3.0,,,,2.34,0
Brendan Hunt,1,24901975,1.0,1.25,1.5,2.25,4.0,,,,1.55,1
Raymond Harper MD,3,22872215,2.75,2.75,3.0,1.75,4.0,2.0,2.5,,2.46,1
Jamie Williams,1,24945291,4.0,3.0,2.5,2.25,2.5,,,,2.56,1
Tom Combs,1,24475607,2.5,2.75,3.0,1.75,1.25,,,,2.23,0
Stephen Boyd,4,21915212,2.5,3.0,5.0,2.5,3.0,,,,2.75,1
Scott Silva,3,22186790,4.0,1.5,5.0,2.25,3.0,2.5,1.0,,2.05,2
Meghan Davis,2,23011205,2.25,1.75,2.75,1.5,5.0,1.75,1.5,1.5,1.84,1
Rachel Nolan,1,24874756,1.75,4.0,2.75,1.5,1.0,,,,1.75,1
Joseph Haynes,1,24013639,1.75,2.5,1.75,2.5,3.0,,,,2.34,0
Ryan Norman,4,21499656,2.75,2.75,1.75,2.75,1.25,,,,2.25,0
Kevin Richardson,3,22028230,2.25,3.0,1.0,4.0,2.75,1.0,4.0,,2.0,2
Larry Costa,2,23435336,2.75,3.0,1.5,2.0,1.75,2.0,1.5,5.0,2.04,1
Ashley Simpson,4,21307801,2.25,1.5,1.0,5.0,2.0,,,,1.69,1
Tina Espinoza,1,24089888,2.5,2.25,2.5,1.5,1.75,,,,2.07,0
Vincent Guzman,1,24954327,2.25,5.0,1.75,5.0,3.0,,,,2.34,2
Cameron Miller,4,21230131,3.0,2.5,1.0,1.0,2.75,,,,2.05,0
Brittany Aguirre,4,21366102,1.25,4.0,4.0,2.25,1.0,,,,1.5,2
Joseph Ramos,4,21155482,2.25,3.0,1.75,1.5,1.5,,,,2.0,0
Aaron Berger,2,23333014,4.0,2.5,1.25,2.25,1.5,1.25,2.5,4.0,1.88,2
Becky Navarro,4,21417525,1.5,1.75,2.75,4.0,2.5,,,,2.12,1
Stephanie Dyer MD,2,23037249,2.25,1.5,4.0,1.25,2.25,2.25,3.0,1.75,2.02,1
Kathleen Pineda,4,21477487,2.25,1.5,3.0,2.75,2.25,,,,2.35,0
Sarah Vincent,4,21689139,4.0,1.5,1.25,2.5,1.25,,,,1.62,1
Michael Davis,2,23901133,4.0,5.0,5.0,3.0,1.75,2.0,5.0,1.5,2.06,4
Timothy Sullivan,2,23980427,4.0,2.0,4.0,3.0,2.0,4.0,1.25,4.0,2.06,4
Laura Green,4,21641577,1.75,2.25,5.0,1.0,1.75,,,,1.69,1
Susan Murphy,3,22721555,5.0,5.0,2.25,2.0,1.25,5.0,4.0,,1.83,4
Cody Thompson,3,22167543,1.0,4.0,1.5,2.5,2.25,1.75,5.0,,1.8,2
Michelle Hanna,2,23725463,3.0,2.0,3.0,1.25,2.75,1.75,1.25,2.0,2.09,0
Tina Walker,3,22802422,1.25,1.5,5.0,2.75,3.0,4.0,4.0,,2.12,3
Daniel Reyes,2,23229834,2.75,3.0,1.25,2.25,2.0,2.25,1.0,5.0,2.04,1
Courtney Ellis MD,4,21682418,3.0,1.0,4.0,5.0,5.0,,,,2.0,3
Joshua Austin,3,22216484,1.25,4.0,2.75,3.0,4.0,1.75,1.25,,2.0,2
Suzanne Callahan,1,24298606,2.5,4.0,1.75,2.75,1.5,,,,2.09,1
Lauren Baker,4,21787810,1.25,2.0,5.0,2.25,2.5,,,,2.0,1
Phillip Moore,4,21714137,3.0,2.5,4.0,2.5,1.0,,,,2.25,1
Michael Martinez,1,24867225,2.0,3.0,5.0,5.0,2.75,,,,2.66,2
Christina Coleman,1,24145018,1.0,3.0,4.0,2.75,1.0,,,,2.02,1
James Murphy,3,22205351,1.75,1.5,2.75,3.0,2.25,1.0,4.0,,2.04,1
Cesar Johnston,4,21700131,2.75,1.75,1.5,1.25,1.5,,,,1.75,0
Christina Williams,2,23933060,2.0,1.5,2.25,1.0,1.5,2.0,2.0,5.0,1.74,1
Michael Nelson,1,24140198,4.0,2.5,1.0,1.5,2.75,,,,1.94,1
Angel Warner,2,23446922,1.0,4.0,2.25,1.5,2.75,4.0,3.0,2.5,2.24,2
Daniel Blair,3,22796657,1.25,1.5,3.0,2.75,3.0,2.5,2.5,,2.36,0
Martin Mitchell,3,22937670,1.25,2.25,1.75,1.25,1.5,4.0,1.5,,1.58,1
Elizabeth Castillo,2,23709211,2.75,2.25,2.25,2.25,4.0,4.0,2.5,2.0,2.31,2
Thomas Goodwin,4,21171104,1.25,4.0,5.0,3.0,1.5,,,,1.92,2
Sarah Bishop,4,21370355,3.0,2.25,1.5,5.0,2.25,,,,2.25,1
Kelly Andrews,1,24612089,2.25,2.0,2.0,1.0,5.0,,,,1.77,1
Timothy Fowler,1,24160131,2.0,1.25,2.0,5.0,2.75,,,,2.0,1
Lisa Johnson,4,21805955,4.0,2.5,1.25,1.0,1.0,,,,1.44,1
Stephen Lyons,3,22680710,4.0,1.0,1.25,1.75,4.0,1.25,4.0,,1.31,3
Stephanie Hall,1,24006448,5.0,4.0,1.0,4.0,3.0,,,,2.0,3
Miss Monica Black,3,22057401,1.25,1.5,2.75,4.0,5.0,2.25,1.0,,1.75,2
John Murray,4,21445150,1.5,1.75,2.75,2.0,2.75,,,,2.15,0
Glenn Ramos,2,23816559,3.0,1.0,2.25,2.0,4.0,4.0,2.0,1.0,1.81,2
Charles Brock,4,21417582,2.25,2.75,4.0,2.25,2.25,,,,2.38,1
Jacob Logan,1,24766723,1.25,2.25,1.5,1.5,1.5,,,,1.62,0
Jillian Collins,3,22476155,2.25,3.0,1.0,2.0,2.75,1.75,2.75,,2.21,0
Cynthia Ford,3,22198878,3.0,5.0,1.75,3.0,1.75,1.25,1.0,,1.96,1
Zachary Allen,4,21466000,2.0,3.0,1.75,4.0,2.75,,,,2.38,1
Kelsey Williams,2,23435952,1.75,5.0,2.5,1.25,1.0,2.5,2.5,2.0,1.94,1
Stephen Kramer,4,21690438,2.5,2.25,3.0,2.75,4.0,,,,2.62,1
Christopher Mays,3,22490982,2.0,2.25,2.5,4.0,2.5,5.0,2.0,,2.25,2
Michelle Meadows,1,24421754,1.5,1.5,2.75,5.0,1.0,,,,1.7,1
Jonathan Mcintyre,2,23301442,2.0,2.75,3.0,3.0,1.25,5.0,2.0,2.5,2.38,1
David Keith,4,21802164,2.25,2.0,4.0,1.75,2.5,,,,2.12,1
Kaylee Anderson,2,23851597,5.0,1.25,2.0,2.75,4.0,2.0,2.5,2.5,2.17,2
Elizabeth Todd,3,22179112,1.0,2.25,5.0,2.25,1.5,1.75,2.0,,1.79,1
Christian Steele,2,23764540,2.75,2.0,2.0,2.0,2.0,2.75,3.0,2.0,2.29,0
James Gonzales,4,21279995,2.75,2.25,2.5,2.5,1.25,,,,2.25,0
John Wong,3,22902325,1.5,4.0,1.0,4.0,2.0,2.25,2.5,,1.85,2
Michael Tucker,1,24870654,1.0,2.75,2.0,1.25,1.25,,,,1.7,0
Donna Estrada,2,23336898,1.5,2.25,5.0,5.0,3.0,2.0,1.25,1.75,1.99,2
Michael Becker,4,21533537,2.25,1.25,3.0,1.25,4.0,,,,1.94,1
Karen Clements,1,24451751,2.75,2.25,1.5,3.0,5.0,,,,2.34,1
Bradley Rivera,4,21004534,2.5,2.25,4.0,1.0,2.75,,,,2.12,1
Steven Conley,1,24690950,2.0,1.75,1.25,3.0,1.75,,,,1.95,0
Mark Harris,1,24761320,2.25,2.5,1.5,2.0,1.25,,,,1.88,0
