Student Name,Year Level,Student Number,Grades,GWA,Failed Subjects
Joshua Atkins,4,21881263,"[2.0, 1.0, 1.75, 1.25, 4.0]",1.5,1
Danny Johnson,1,24128469,"[2.5, 5.0, 2.25, 2.25, 1.25]",2.02,1
Adam Moore,3,22492181,"[4.0, 1.25, 2.0, 2.25, 1.25, 5.0, 2.0]",1.75,2
Virginia Steele,1,24561773,"[1.75, 1.5, 2.0, 1.75, 1.0]",1.59,0
Jared Vazquez,1,24605577,"[4.0, 3.0, 1.5, 1.75, 2.75]",2.25,1
Benjamin Skinner,4,21590420,"[1.75, 1.0, 4.0, 4.0, 5.0]",1.38,3
Ashley Jones,3,22593615,"[2.25, 1.25, 1.75, 4.0, 1.0, 2.5, 1.0]",1.62,1
Tyler Rodriguez,4,21122094,"[5.0, 1.25, 2.0, 1.25, 1.0]",1.38,1
Tracy Johnson,4,21428304,"[2.75, 2.0, 1.25, 3.0, 4.0]",2.25,1
John Stark,3,22871474,"[2.5, 2.5, 2.0, 3.0, 2.75, 1.25, 2.25]",2.32,0
David Wright,3,22222176,"[5.0, 2.25, 2.75, 1.25, 2.0, 4.0, 1.5]",1.95,2
Michael Velasquez,3,22885303,"[3.0, 2.75, 1.25, 3.0, 2.0, 2.5, 1.5]",2.29,0
Andrew Reeves,4,21423958,"[1.25, 2.25, 2.25, 2.75, 1.5]",2.0,0
Martha Murphy,1,24166698,"[2.75, 1.75, 1.75, 1.5, 1.5]",1.79,0
Lydia Lawrence,1,24540839,"[1.5, 1.5, 1.75, 3.0, 1.0]",1.77,0
Cynthia Bryant,1,24116880,"[5.0, 2.0, 2.5, 1.5, 2.0]",2.0,1
Melinda Reed,2,23915895,"[5.0, 4.0, 2.0, 1.0, 1.0, 1.75, 1.25, 1.75]",1.46,2
Sara Williams,1,24212812,"[2.5, 2.0, 2.5, 2.25, 1.75]",2.18,0
Daniel Smith,3,22244622,"[2.75, 1.5, 2.0, 2.75, 2.75, 2.75, 2.0]",2.36,0
Maria Daniels,3,22977677,"[1.25, 2.0, 4.0, 1.75, 2.0, 1.75, 2.75]",1.92,1
Heather Gonzalez MD,2,23505366,"[2.0, 1.0, 2.0, 3.0, 2.5, 1.25, 1.0, 1.75]",1.8,0
Ryan Lawson,3,22023557,"[2.75, 1.0, 4.0, 4.0, 1.0, 2.0, 1.5]",1.65,2
Jeffrey Williams,2,23950520,"[5.0, 2.75, 1.0, 1.25, 2.0, 2.5, 1.25, 1.5]",1.75,1
Barbara White,4,21403805,"[1.25, 1.0, 1.0, 1.0, 3.0]",1.45,0
