Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Michael Thomas,1,24427517,1.0,1.5,2.5,1.75,2.25,,,,1.86,0,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree
Michael Mcguire,4,21908695,2.5,5.0,1.0,1.0,1.25,,,,2.15,1,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree
Jonathan Smith,4,21620116,1.75,5.0,1.0,1.5,2.75,,,,2.4,1,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree
Jaime Phelps,2,23128726,1.75,1.75,1.75,2.25,1.0,5.0,5.0,1.75,2.57,2,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree
Nicole Hamilton,3,22926109,2.25,2.75,1.5,1.5,1.5,5.0,3.0,,2.5,1,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree
Samuel Wilkins,1,24202441,1.75,2.5,1.75,2.5,3.0,,,,2.34,0,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree
Brendan Hunt,1,24901975,1.0,1.25,1.5,2.25,4.0,,,,2.07,0,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Raymond Harper MD,3,22872215,2.75,2.75,3.0,1.75,4.0,2.0,2.5,,2.68,0,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree
Jamie Williams,1,24945291,4.0,3.0,2.5,2.25,2.5,,,,2.77,0,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
Tom Combs,1,24475607,2.5,2.75,3.0,1.75,1.25,,,,2.23,0,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Stephen Boyd,4,21915212,2.5,3.0,5.0,2.5,3.0,,,,3.2,1,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree
Scott Silva,3,22186790,4.0,1.5,5.0,2.25,3.0,2.5,1.0,,2.75,1,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree
Meghan Davis,2,23011205,2.25,1.75,2.75,1.5,5.0,1.75,1.5,1.5,2.25,1,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree
