Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Status,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Michael Thomas,1,24427517,1.5,1.5,2.75,5.0,2.75,Irregular,,,,2.79,1,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree
Michael Mcguire,4,21908695,5.0,1.0,2.25,3.0,5.0,Irregular,,,,3.25,2,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree
Jonathan Smith,4,21620116,2.75,1.0,1.0,3.0,4.0,Regular,,,,2.35,0,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree
Jaime Phelps,2,23128726,5.0,1.25,1.0,1.5,2.25,Irregular,3.0,2.75,1.25,2.13,1,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Nicole Hamilton,3,22926109,1.5,2.5,1.75,1.75,1.5,Regular,1.5,1.25,,1.68,0,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree
Samuel Wilkins,1,24202441,2.25,2.5,2.5,1.75,2.5,Regular,,,,2.3,0,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree
Brendan Hunt,1,24901975,2.0,2.5,1.25,2.0,1.5,Regular,,,,1.84,0,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree
Raymond Harper MD,3,22872215,1.0,2.75,2.0,2.75,2.75,Regular,2.25,4.0,,2.5,0,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree
Jamie Williams,1,24945291,1.0,3.0,2.25,1.5,3.0,Regular,,,,2.23,0,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Tom Combs,1,24475607,1.25,1.0,2.75,5.0,2.0,Irregular,,,,2.48,1,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Stephen Boyd,4,21915212,1.25,2.25,4.0,2.25,5.0,Irregular,,,,2.95,1,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
Scott Silva,3,22186790,1.75,1.75,2.75,3.0,1.0,Regular,2.25,1.0,,1.93,0,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree
Meghan Davis,2,23011205,2.5,2.75,1.75,2.75,4.0,Regular,1.25,1.75,1.25,2.24,0,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
Rachel Nolan,1,24874756,1.25,1.25,2.5,4.0,2.75,Regular,,,,2.43,0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Joseph Haynes,1,24013639,2.75,2.5,4.0,2.5,3.0,Regular,,,,2.96,0,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
Ryan Norman,4,21499656,1.75,2.5,1.0,2.75,5.0,Irregular,,,,2.6,1,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree
Kevin Richardson,3,22028230,2.25,5.0,3.0,4.0,1.5,Irregular,2.75,1.75,,2.89,1,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree
Larry Costa,2,23435336,2.0,2.25,2.5,4.0,2.25,Regular,1.0,1.5,1.0,2.07,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree
Ashley Simpson,4,21307801,2.5,2.75,1.25,2.5,2.0,Regular,,,,2.2,0,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree
